metric,value
Domain,fintech
Total Teams,97
Successfully Evaluated,97
Failed Evaluations,0
GitHub Submissions,42
,
PPT Total — Mean,19.2
PPT Total — Min,16
PPT Total — Max,20
,
GitHub Total — Mean,15.2
GitHub Total — Min,3
GitHub Total — Max,20
,
Overall Total — Mean,25.8
Overall Total — Min,16
Overall Total — Max,40
,
Battle Rows Stored,0
Unique Matchups,0
Relative Scores Computed,0
Relative Score — Mean,N/A
,
Total Reconciliation Flags,0
Unresolved Flags,0
,
Report Generated,2026-04-19 11:00:45
