source_file,domain_label,team_name,team_number,team_id,ppt_total_num,github_submitted_bin,project_title_norm,ghost_reasons
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,DevNova,23,team_023,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,Alpha Zero,32,team_032,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,Sparklers,117,team_117,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,Sentinel Squad,251,team_251,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,KRATOS,268,team_268,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,Codeum Blood,293,team_293,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,SheCodes,137,team_137,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,Ciphers,258,team_258,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,gitcoder,272,team_272,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,Hackaholics,281,team_281,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,CODERS ROCK,62,team_062,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,Team Unicorns,136,team_136,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,PixelATE,266,team_266,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,Tech Hustlers,314,team_314,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,Team Nova,152,team_152,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,OPTIMUS,279,team_279,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,WebX,110,team_110,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,Genz Coders,194,team_194,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,CodeQ,138,team_138,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,Titans,13,team_013,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,FinTastic 4,116,team_116,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,WinX,339,team_339,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,Highkey Hackers,81,team_081,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,VORTEX,2,team_002,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,CodeCrewX,3,team_003,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,Tech Tamizhans,21,team_021,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,Code Benders,49,team_049,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,Secure Pay,100,team_100,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,Mavericks,108,team_108,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,Eminence,111,team_111,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,Kernel Knights,118,team_118,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,Evil Corp,119,team_119,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,Team Vincere,123,team_123,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,Innovatrix,125,team_125,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,Crazy Geeks,126,team_126,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,Hash Force,146,team_146,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,The Rookies,158,team_158,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,Dreamnity,163,team_163,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,Starks,168,team_168,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,Hacksmiths,186,team_186,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,LOOP BREAKERS,195,team_195,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,404 Brain Not Found,200,team_200,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,InnoHack,222,team_222,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,Code Commandos,255,team_255,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,goofBalls,296,team_296,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,EchelonX,331,team_331,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,Defi Decoders,345,team_345,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,CyberTech AI,367,team_367,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,Minecrafter’s,113,team_113,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,LedgerLinks,189,team_189,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,The Innovators,239,team_239,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
fintech_evaluation_output_20260419_110045 - Scores.csv,fintech,TEAM NOWAY,343,team_343,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,K3,89,team_089,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,Infinity Coders,501,team_501,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,OFFSIDE.py,95,team_095,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,Stack Overthrow,153,team_153,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,TechVengers,336,team_336,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,SafeNest,294,team_294,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,YunStack,409,team_409,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,HackStreet Boys,422,team_422,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,Medx Innovators,427,team_427,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,Coducks,462,team_462,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,Quiet Coders,528,team_528,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,Medx Innovators,586,team_586,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,Cypher,291,team_291,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,PRO BOTS,334,team_334,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,PRAVASI CARE,285,team_285,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,Team_KiwiQ,303,team_303,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,Innovex Crew,140,team_140,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,Solo Scriptor,344,team_344,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,Climate Warriors,38,team_038,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,Bitzapp,529,team_529,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,BLACK BULLS,451,team_451,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,TrioTech,221,team_221,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,TEAM_Cipher,28,team_028,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,Baka Boyz,29,team_029,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,Spectra,51,team_051,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,Apex OR,60,team_060,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,Novaspire,65,team_065,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,TEAM SAT,87,team_087,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,FAST AND CURIOUS,96,team_096,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,Quadraminds,106,team_106,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,Care Coders,114,team_114,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,Unknown,120,team_120,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,Syntax Terror,172,team_172,20.0,1.0,,G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,Tech Lifelines,142,team_142,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,CuraMind AI,162,team_162,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,SYNAPSE-3D,171,team_171,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,TremorAegis,191,team_191,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,The Quad-Core Creators,208,team_208,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,Strivers,227,team_227,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,DVD (Distant Visionary Developers),246,team_246,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,Peace,248,team_248,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,SeasonerS,260,team_260,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
healthcare_evaluation_output_20260419_132600 - Scores.csv,healthcare,fontediaz,271,team_271,20.0,0.0,,G1_perfect_without_github;G2_perfect_without_github_or_title;G3_perfect_without_title
