team_id,team_number,team_name,project_title,domain,problem_specificity,solution_problem_fit,technical_clarity,domain_depth,ppt_total,implementation_authenticity,stack_alignment,core_feature_presence,code_intentionality,github_total,overall_total,github_submitted,reconciliation_flagged,domain_rank,cohort_pct_ppt,cohort_pct_github,cohort_pct_overall,Video + Prototype (5),relative_github,relative_overall,relative_rank
team_023,23,DevNova,,fintech,5,5,5,5,20,5,5,5,5,20,40,True,False,1,46.9,85.4,94.8,,,,
team_032,32,Alpha Zero,,fintech,5,5,5,5,20,5,5,5,5,20,40,True,False,1,46.9,85.4,94.8,,,,
team_117,117,Sparklers,,fintech,5,5,5,5,20,5,5,5,5,20,40,True,False,1,46.9,85.4,94.8,,,,
team_251,251,Sentinel Squad,,fintech,5,5,5,5,20,5,5,5,5,20,40,True,False,1,46.9,85.4,94.8,,,,
team_268,268,KRATOS,,fintech,5,5,5,5,20,5,5,5,5,20,40,True,False,1,46.9,85.4,94.8,,,,
team_293,293,Codeum Blood,,fintech,5,5,5,5,20,5,5,5,5,20,40,True,False,1,46.9,85.4,94.8,,,,
team_004,4,TETRINOX,,fintech,5,5,4,5,19,5,5,5,5,20,39,True,False,7,19.8,85.4,88.5,,,,
team_137,137,SheCodes,,fintech,5,5,5,5,20,5,4,5,5,19,39,True,False,7,46.9,61,88.5,,,,
team_258,258,Ciphers,,fintech,5,5,5,5,20,5,4,5,5,19,39,True,False,7,46.9,61,88.5,,,,
team_272,272,gitcoder,,fintech,5,5,5,5,20,5,4,5,5,19,39,True,False,7,46.9,61,88.5,,,,
team_281,281,Hackaholics,,fintech,5,5,5,5,20,5,4,5,5,19,39,True,False,7,46.9,61,88.5,,,,
team_062,62,CODERS ROCK,,fintech,5,5,5,5,20,5,4,5,5,19,39,True,False,7,46.9,61,88.5,,,,
team_136,136,Team Unicorns,,fintech,5,5,5,5,20,5,4,4,5,18,38,True,False,13,46.9,53.7,84.4,,,,
team_224,224,NIGHTS WATCH,,fintech,5,5,5,4,19,5,4,5,5,19,38,True,False,13,19.8,61,84.4,,,,
team_292,292,ZHIEND,,fintech,5,5,5,4,19,4,5,5,5,19,38,True,False,13,19.8,61,84.4,,,,
team_377,377,Code stormers,,fintech,5,5,4,5,19,5,4,5,5,19,38,True,False,13,19.8,61,84.4,,,,
team_266,266,PixelATE,,fintech,5,5,5,5,20,4,4,4,5,17,37,True,False,17,46.9,46.3,78.1,,,,
team_314,314,Tech Hustlers,,fintech,5,5,5,5,20,5,3,4,5,17,37,True,False,17,46.9,46.3,78.1,,,,
team_338,338,Cipher Punks,,fintech,5,5,4,4,18,5,5,4,5,19,37,True,False,17,11.5,61,78.1,,,,
team_322,322,cc cREATORS!,,fintech,5,5,3,5,18,5,4,5,5,19,37,True,False,17,11.5,61,78.1,,,,
team_261,261,CRUISE IT,,fintech,5,5,4,5,19,5,4,4,5,18,37,True,False,17,19.8,53.7,78.1,,,,
team_382,382,Neural Nexus,,fintech,5,5,4,5,19,5,4,4,5,18,37,True,False,17,19.8,53.7,78.1,,,,
team_152,152,Team Nova,,fintech,5,5,5,5,20,4,2,5,5,16,36,True,False,23,46.9,34.1,76,,,,
team_279,279,OPTIMUS,,fintech,5,5,5,5,20,5,2,4,5,16,36,True,False,23,46.9,34.1,76,,,,
team_110,110,WebX,,fintech,5,5,5,5,20,4,2,4,5,15,35,True,False,25,46.9,26.8,72.9,5,,,
team_194,194,Genz Coders,,fintech,5,5,5,5,20,4,2,4,5,15,35,True,False,25,46.9,26.8,72.9,,,,
team_219,219,CODING CREW,,fintech,5,5,5,4,19,4,4,4,4,16,35,True,False,25,19.8,34.1,72.9,2,,,
team_104,104,Tech Knights,,fintech,5,5,3,4,17,4,3,4,5,16,33,True,False,28,5.2,34.1,66.7,,,,
team_138,138,CodeQ,,fintech,5,5,5,5,20,4,2,3,4,13,33,True,False,28,46.9,19.5,66.7,,,,
team_249,249,Fab Four,,fintech,5,5,3,4,17,4,3,4,5,16,33,True,False,28,5.2,34.1,66.7,3,,,
team_309,309,Block Hole,,fintech,5,5,5,4,19,5,2,3,4,14,33,True,False,28,19.8,22,66.7,2,,,
team_316,316,Red Devils,,fintech,5,4,5,5,19,5,1,3,5,14,33,True,False,28,19.8,22,66.7,1,,,
team_385,385,CodeByte,,fintech,4,5,3,4,16,4,4,4,5,17,33,True,False,28,0,46.3,66.7,3,,,
team_055,55,Coffee Coders,,fintech,4,4,4,4,16,4,1,5,5,15,31,True,False,34,0,26.8,65.6,1,,,
team_105,105,Nive Squared,,fintech,4,5,5,3,17,2,5,2,2,11,28,True,False,35,5.2,17.1,64.6,,,,
team_013,13,Titans,,fintech,5,5,5,5,20,1,1,1,1,4,24,True,False,36,46.9,2.4,60.4,,,,
team_116,116,FinTastic 4,,fintech,5,5,5,5,20,1,1,1,1,4,24,True,False,36,46.9,2.4,60.4,1,,,
team_339,339,WinX,,fintech,5,5,5,5,20,1,1,1,1,4,24,True,False,36,46.9,2.4,60.4,,,,
team_081,81,Highkey Hackers,,fintech,5,5,5,5,20,1,1,1,1,4,24,True,False,36,46.9,2.4,60.4,,,,
team_348,348,NeuroLock,,fintech,5,5,5,4,19,1,1,1,1,4,23,True,False,40,19.8,2.4,59.4,,,,
team_002,2,VORTEX,,fintech,5,5,5,5,20,,,,,,20,False,False,41,46.9,,28.1,1,,,
team_003,3,CodeCrewX,,fintech,5,5,5,5,20,,,,,,20,False,False,41,46.9,,28.1,2,,,
team_021,21,Tech Tamizhans,,fintech,5,5,5,5,20,,,,,,20,False,False,41,46.9,,28.1,,,,
team_049,49,Code Benders,,fintech,5,5,5,5,20,,,,,,20,False,False,41,46.9,,28.1,2,,,
team_053,53,VISIONIZE,,fintech,5,5,2,4,16,1,1,1,1,4,20,True,False,41,0,2.4,28.1,3,,,
team_100,100,Secure Pay,,fintech,5,5,5,5,20,,,,,,20,False,False,41,46.9,,28.1,,,,
team_108,108,Mavericks,,fintech,5,5,5,5,20,,,,,,20,False,False,41,46.9,,28.1,,,,
team_111,111,Eminence,,fintech,5,5,5,5,20,,,,,,20,False,False,41,46.9,,28.1,,,,
team_118,118,Kernel Knights,,fintech,5,5,5,5,20,,,,,,20,False,False,41,46.9,,28.1,2,,,
team_119,119,Evil Corp,,fintech,5,5,5,5,20,,,,,,20,False,False,41,46.9,,28.1,2,,,
team_123,123,Team Vincere,,fintech,5,5,5,5,20,,,,,,20,False,False,41,46.9,,28.1,,,,
team_125,125,Innovatrix,,fintech,5,5,5,5,20,,,,,,20,False,False,41,46.9,,28.1,,,,
team_126,126,Crazy Geeks,,fintech,5,5,5,5,20,,,,,,20,False,False,41,46.9,,28.1,,,,
team_146,146,Hash Force,,fintech,5,5,5,5,20,,,,,,20,False,False,41,46.9,,28.1,,,,
team_158,158,The Rookies,,fintech,5,5,5,5,20,,,,,,20,False,False,41,46.9,,28.1,,,,
team_163,163,Dreamnity,,fintech,5,5,5,5,20,,,,,,20,False,False,41,46.9,,28.1,,,,
team_168,168,Starks,,fintech,5,5,5,5,20,,,,,,20,False,False,41,46.9,,28.1,,,,
team_186,186,Hacksmiths,,fintech,5,5,5,5,20,,,,,,20,False,False,41,46.9,,28.1,1,,,
team_195,195,LOOP BREAKERS,,fintech,5,5,5,5,20,,,,,,20,False,False,41,46.9,,28.1,,,,
team_200,200,404 Brain Not Found,,fintech,5,5,5,5,20,,,,,,20,False,False,41,46.9,,28.1,,,,
team_222,222,InnoHack,,fintech,5,5,5,5,20,,,,,,20,False,False,41,46.9,,28.1,,,,
team_255,255,Code Commandos,,fintech,5,5,5,5,20,,,,,,20,False,False,41,46.9,,28.1,2,,,
team_296,296,goofBalls,,fintech,5,5,5,5,20,,,,,,20,False,False,41,46.9,,28.1,,,,
team_331,331,EchelonX,,fintech,5,5,5,5,20,,,,,,20,False,False,41,46.9,,28.1,,,,
team_345,345,Defi Decoders,,fintech,5,5,5,5,20,,,,,,20,False,False,41,46.9,,28.1,,,,
team_367,367,CyberTech AI,,fintech,5,5,5,5,20,,,,,,20,False,False,41,46.9,,28.1,,,,
team_113,113,Minecrafter’s,,fintech,5,5,5,5,20,,,,,,20,False,False,41,46.9,,28.1,,,,
team_189,189,LedgerLinks,,fintech,5,5,5,5,20,,,,,,20,False,False,41,46.9,,28.1,,,,
