,SNO,team_id,team_number,team_name,project_title,domain,problem_specificity,solution_problem_fit,technical_clarity,domain_depth,ppt_total,implementation_authenticity,stack_alignment,core_feature_presence,code_intentionality,github_total,overall_total,github_submitted,reconciliation_flagged,domain_rank,cohort_pct_ppt,cohort_pct_github,cohort_pct_overall,Video + Prototype (5),selected,relative_overall,relative_rank
1,,team_089,89,K3,,healthcare,5,5,5,5,20,5,5,5,5,20,40,True,False,1,70.8,92.3,99.6,0,1,,
1,,team_501,501,Infinity Coders,,healthcare,5,5,5,5,20,5,5,5,5,20,40,True,False,,70.8,92.3,99.6,1,1,,
,3,team_095,95,OFFSIDE.py,,healthcare,5,5,5,5,20,5,4,5,5,19,39,True,False,2,70.8,72.1,94.9,1,,,
1,,team_153,153,Stack Overthrow,,healthcare,5,5,5,5,20,5,4,5,5,19,39,True,False,2,70.8,72.1,94.9,5,1,,
1,,team_336,336,TechVengers,,healthcare,5,5,5,5,20,5,4,5,5,19,39,True,False,2,70.8,72.1,94.9,3,1,,
1,,team_294,294,SafeNest,,healthcare,5,5,5,5,20,5,4,5,5,19,39,True,False,,70.8,72.1,94.9,5,1,,
1,,team_357,357,VitalForce,,healthcare,5,5,4,5,19,5,5,5,5,20,39,True,False,,37,92.3,94.9,0,1,,
1,,team_409,409,YunStack,,healthcare,5,5,5,5,20,5,5,4,5,19,39,True,False,,70.8,72.1,94.9,4,1,,
1,,team_422,422,HackStreet Boys,,healthcare,5,5,5,5,20,5,4,5,5,19,39,True,False,,70.8,72.1,94.9,3,1,,
1,,team_427,427,Medx Innovators,,healthcare,5,5,5,5,20,5,4,5,5,19,39,True,False,,70.8,72.1,94.9,3,1,,
1,,team_462,462,Coducks,,healthcare,5,5,5,5,20,5,4,5,5,19,39,True,False,,70.8,72.1,94.9,3,1,,
1,,team_528,528,Quiet Coders,,healthcare,5,5,5,5,20,5,4,5,5,19,39,True,False,,70.8,72.1,94.9,3,1,,
,13,team_586,586,Medx Innovators,,healthcare,5,5,5,5,20,5,4,5,5,19,39,True,False,,70.8,72.1,94.9,0,,,
1,,team_594,594,Infinite Loopers,,healthcare,4,5,5,5,19,5,5,5,5,20,39,True,False,,37,92.3,94.9,0,1,,
1,,team_016,16,Luvara,,healthcare,4,5,5,5,19,5,4,5,5,19,38,True,False,8,37,72.1,90.3,5,1,,
1,,team_148,148,TOUCH_GRASS,,healthcare,5,5,3,5,18,5,5,5,5,20,38,True,False,8,22.2,92.3,90.3,4,1,,
1,,team_289,289,VITALS,,healthcare,5,5,4,5,19,5,5,4,5,19,38,True,False,8,37,72.1,90.3,3,1,,
1,,team_291,291,Cypher,,healthcare,5,5,5,5,20,5,4,4,5,18,38,True,False,8,70.8,66.3,90.3,4,1,,
,19,team_301,301,Ctrl Alt Elite,,healthcare,5,5,4,4,18,5,5,5,5,20,38,True,False,8,22.2,92.3,90.3,1,,,
1,,team_334,334,PRO BOTS,,healthcare,5,5,5,5,20,5,3,5,5,18,38,True,False,8,70.8,66.3,90.3,3,1,,
1,21,team_349,349,Debug_Squad,,healthcare,5,5,5,4,19,5,4,5,5,19,38,True,False,8,37,72.1,90.3,3,1,,
,22,team_285,285,PRAVASI CARE,,healthcare,5,5,5,5,20,5,4,4,5,18,38,True,False,,70.8,66.3,90.3,1,,,
1,,team_341,341,Team Mevaricks,,healthcare,4,5,5,4,18,5,5,5,5,20,38,True,False,,22.2,92.3,90.3,3,1,,
1,,team_424,424,MedIntel Crew,,healthcare,5,5,4,5,19,5,4,5,5,19,38,True,False,,37,72.1,90.3,0,1,,
,25,team_588,588,Tech Titans,,healthcare,5,5,5,4,19,5,5,5,4,19,38,True,False,,37,72.1,90.3,0,,,
1,,team_605,605,Code Strikers,,healthcare,5,5,4,5,19,5,4,5,5,19,38,True,False,,37,72.1,90.3,4,1,,
1,,team_059,59,Byte Me,,healthcare,5,5,4,4,18,5,5,5,4,19,37,True,False,15,22.2,72.1,87.5,5,1,,
1,,team_071,71,HealthNova,,healthcare,5,5,4,4,18,5,5,5,4,19,37,True,False,15,22.2,72.1,87.5,3,1,,
,29,team_154,154,House Stark,,healthcare,5,5,4,5,19,5,5,4,4,18,37,True,False,15,37,66.3,87.5,0,,,
,30,team_165,165,HKS-HACK KERNEL SYNDICATES,,healthcare,5,5,4,4,18,5,5,4,5,19,37,True,False,15,22.2,72.1,87.5,0,,,
1,,team_329,329,BrainConnect,,healthcare,4,5,5,4,18,5,4,5,5,19,37,True,False,15,22.2,72.1,87.5,3,1,,
,32,team_366,366,NEXORA,,healthcare,5,5,4,4,18,5,5,5,4,19,37,True,False,,22.2,72.1,87.5,2,,,
1,,team_510,510,Vertex,,healthcare,5,5,5,4,19,4,5,4,5,18,37,True,False,,37,66.3,87.5,4,1,,
,34,team_303,303,Team_KiwiQ,,healthcare,5,5,5,5,20,4,5,3,4,16,36,True,False,20,70.8,49,84,0,,,
1,,team_318,318,Neural nexus,,healthcare,5,5,4,5,19,5,3,5,4,17,36,True,False,20,37,59.6,84,3,1,,
,36,team_346,346,NexDen Coders,,healthcare,5,5,1,5,16,5,5,5,5,20,36,True,False,20,8.6,92.3,84,1,,,
,37,team_350,350,CodeCrew,,healthcare,5,5,5,4,19,5,2,5,5,17,36,True,False,20,37,59.6,84,2,,,
,38,team_140,140,Innovex Crew,,healthcare,5,5,5,5,20,4,5,3,4,16,36,True,False,,70.8,49,84,0,,,
,,team_344,344,Solo Scriptor,,healthcare,5,5,5,5,20,5,2,4,5,16,36,True,False,,70.8,49,84,3,,,
1,,team_286,286,Vulnerability Hunters,,healthcare,5,5,5,4,19,4,4,5,4,17,36,True,False,,37,59.6,84,3,1,,
,41,team_396,396,Team Coders,,healthcare,5,5,4,5,19,5,3,4,5,17,36,True,False,,37,59.6,84,2,,,
,42,team_461,461,AfterAll3,,healthcare,5,5,4,5,19,5,3,4,5,17,36,True,False,,37,59.6,84,,,,
,43,team_052,52,VAJRA,,healthcare,4,5,4,4,17,5,4,5,4,18,35,True,False,24,15.6,66.3,82.1,0,,,
1,,team_238,238,Synergy Squad,,healthcare,5,5,4,5,19,5,3,3,5,16,35,True,False,24,37,49,82.1,3,1,,
,45,team_328,328,Cyber Knights,,healthcare,5,5,4,5,19,5,3,4,4,16,35,True,False,24,37,49,82.1,2,,,
,46,team_410,410,SHADOW-STACK,,healthcare,5,5,4,5,19,4,4,4,4,16,35,True,False,,37,49,82.1,0,,,
,47,team_493,493,MindMatrix,,healthcare,5,5,4,5,19,5,1,5,5,16,35,True,False,,37,49,82.1,0,,,
1,,team_038,38,Climate Warriors,,healthcare,5,5,5,5,20,5,2,3,4,14,34,True,False,28,70.8,41.3,80.5,3,1,,
,49,team_352,352,Team Luminescence,,healthcare,4,4,2,4,14,5,5,5,5,20,34,True,False,,1.2,92.3,80.5,1,,,
1,50,team_557,557,SHA-GPT,,healthcare,5,5,4,5,19,4,4,3,4,15,34,True,False,,37,44.2,80.5,4,1,,
,51,team_648,648,KnackX,,healthcare,5,5,5,4,19,4,4,3,4,15,34,True,False,,37,44.2,80.5,2,,,
,52,team_107,107,ZERO_ ONE,,healthcare,5,5,3,4,17,5,2,5,4,16,33,True,False,30,15.6,49,79.4,2,,,
,53,team_225,225,SOLVIX,,healthcare,5,5,4,5,19,5,1,4,4,14,33,True,False,30,37,41.3,79.4,2,,,
,54,team_609,609,SYNERGY INNOVATORS,,healthcare,5,5,5,4,19,4,2,4,4,14,33,True,False,,37,41.3,79.4,0,,,
,55,team_033,33,Pheonix,,healthcare,4,5,5,5,19,4,2,3,4,13,32,True,False,,37,35.6,77,3,,,
,56,team_143,143,NextGen,,healthcare,5,5,4,5,19,4,5,4,0,13,32,True,False,,37,35.6,77,2,,,
,57,team_273,273,Griffin Squad,,healthcare,4,4,3,4,15,4,4,5,4,17,32,True,False,,4.3,59.6,77,0,,,
,58,team_395,395,VisionMed AI,,healthcare,5,5,4,5,19,4,1,4,4,13,32,True,False,,37,35.6,77,3,,,
,59,team_408,408,Hustlers,,healthcare,4,4,3,4,15,5,5,4,3,17,32,True,False,,4.3,59.6,77,0,,,
,60,team_632,632,PLUS HACK,,healthcare,4,4,5,4,17,4,3,4,4,15,32,True,False,,15.6,44.2,77,0,,,
29,61,team_161,161,AdaptPulse,,healthcare,5,5,4,4,18,3,2,4,4,13,31,True,False,,22.2,35.6,75.1,,29,,
,62,team_484,484,VisionMed AI,,healthcare,5,5,3,5,18,4,1,4,4,13,31,True,False,,22.2,35.6,75.1,,,,
,63,team_502,502,MedAI Pioneers,,healthcare,4,4,3,4,15,5,4,4,3,16,31,True,False,,4.3,49,75.1,,,,
