metric,value
Domain,healthcare
Total Teams,260
Successfully Evaluated,259
Failed Evaluations,1
GitHub Submissions,105
,
PPT Total — Mean,18.4
PPT Total — Min,12
PPT Total — Max,20
,
GitHub Total — Mean,12.2
GitHub Total — Min,0
GitHub Total — Max,20
,
Overall Total — Mean,23.3
Overall Total — Min,0
Overall Total — Max,40
,
Battle Rows Stored,0
Unique Matchups,0
Relative Scores Computed,0
Relative Score — Mean,N/A
,
Total Reconciliation Flags,0
Unresolved Flags,0
,
Report Generated,2026-04-19 13:26:00
