team_id,team_number,team_name,project_title,domain,problem_specificity,solution_problem_fit,technical_clarity,domain_depth,ppt_total,implementation_authenticity,stack_alignment,core_feature_presence,code_intentionality,github_total,overall_total,github_submitted,reconciliation_flagged,domain_rank,cohort_pct_ppt,cohort_pct_github,cohort_pct_overall,Video + Prototype (5),relative_github,relative_overall,relative_rank
team_005,5,Z-Vibed Coders,,logistics,5,5,5,5,20,5,5,5,5,20,40,True,False,1,51.1,87.8,95.7,,,,
team_193,193,ML MAVERICKS,,logistics,5,5,5,5,20,5,5,5,5,20,40,True,False,1,51.1,87.8,95.7,,,,
team_347,347,White Hats,,logistics,5,5,5,5,20,5,5,5,5,20,40,True,False,1,51.1,87.8,95.7,,,,
team_351,351,TechTechSahur,,logistics,5,5,5,5,20,5,5,5,5,20,40,True,False,1,51.1,87.8,95.7,,,,
team_441,441,Dream Team,,logistics,5,5,5,5,20,5,5,5,5,20,40,True,False,,51.1,87.8,95.7,,,,
team_472,472,Log IQ,,logistics,5,5,5,5,20,5,5,5,5,20,40,True,False,,51.1,87.8,95.7,,,,
team_480,480,The Hack Squad,,logistics,5,5,5,5,20,5,5,5,5,20,40,True,False,,51.1,87.8,95.7,,,,
team_159,159,Hail Mary,,logistics,5,5,5,5,20,5,4,5,5,19,39,True,False,5,51.1,74.3,90.6,,,,
team_175,175,CodePirates,,logistics,5,5,5,5,20,5,4,5,5,19,39,True,False,5,51.1,74.3,90.6,,,,
team_212,212,Zenly,,logistics,5,5,4,5,19,5,5,5,5,20,39,True,False,5,18.7,87.8,90.6,,,,
team_252,252,GLITCH GOBLINS,,logistics,5,5,5,5,20,5,5,4,5,19,39,True,False,5,51.1,74.3,90.6,,,,
team_284,284,PixelZero,,logistics,5,5,5,4,19,5,5,5,5,20,39,True,False,5,18.7,87.8,90.6,,,,
team_615,615,OnlyVibeCoders,,logistics,5,5,5,5,20,5,5,4,5,19,39,True,False,,51.1,74.3,90.6,,,,
team_628,628,Hyper wear,,logistics,5,5,5,5,20,5,4,5,5,19,39,True,False,,51.1,74.3,90.6,,,,
team_026,26,Zyphor,,logistics,5,5,5,5,20,5,4,4,5,18,38,True,False,10,51.1,67.6,86.3,,,,
team_067,67,HYDROSWARM FLEET,,logistics,5,5,5,5,20,5,4,4,5,18,38,True,False,10,51.1,67.6,86.3,,,,
team_229,229,RULE BREAKERZ,,logistics,5,5,4,5,19,5,4,5,5,19,38,True,False,10,18.7,74.3,86.3,,,,
team_262,262,TesseractX,,logistics,5,5,5,4,19,5,4,5,5,19,38,True,False,10,18.7,74.3,86.3,,,,
team_533,533,Byte Breakers,,logistics,5,5,5,5,20,5,4,4,5,18,38,True,False,,51.1,67.6,86.3,,,,
team_573,573,Pirates,,logistics,4,5,4,5,18,5,5,5,5,20,38,True,False,,10.8,87.8,86.3,,,,
team_256,256,Tech Super Kings,,logistics,5,5,5,5,20,4,3,5,5,17,37,True,False,14,51.1,62.2,83.5,,,,
team_326,326,Illogisticians,,logistics,5,5,4,5,19,5,3,5,5,18,37,True,False,14,18.7,67.6,83.5,,,,
team_384,384,TechThinkers,,logistics,5,5,5,5,20,5,3,4,5,17,37,True,False,14,51.1,62.2,83.5,,,,
team_645,645,DigniRoute,,logistics,5,5,5,5,20,4,5,3,5,17,37,True,False,,51.1,62.2,83.5,,,,
team_184,184,DevX,,logistics,5,5,5,5,20,4,3,4,5,16,36,True,False,17,51.1,54.1,81.3,3,,,
team_250,250,SanKrish Innovate,,logistics,5,5,4,4,18,4,4,5,5,18,36,True,False,,10.8,67.6,81.3,2,,,
team_448,448,TEAM 1000,,logistics,5,5,5,5,20,5,2,4,5,16,36,True,False,,51.1,54.1,81.3,,,,
team_069,69,Doomsday,,logistics,5,5,5,5,20,4,2,4,5,15,35,True,False,19,51.1,47.3,75.5,3,,,
team_121,121,Merkle Trace,,logistics,5,5,4,5,19,4,3,4,5,16,35,True,False,19,18.7,54.1,75.5,4,,,
team_364,364,Gen4Code,,logistics,5,5,4,5,19,4,2,5,5,16,35,True,False,19,18.7,54.1,75.5,3,,,
team_167,167,Nizz,,logistics,5,5,2,4,16,5,4,5,5,19,35,True,False,,4.3,74.3,75.5,5,,,
team_434,434,Innovexa,,logistics,5,5,5,4,19,4,3,4,5,16,35,True,False,,18.7,54.1,75.5,,,,
team_478,478,SwiftTech,,logistics,5,5,4,4,18,4,4,4,5,17,35,True,False,,10.8,62.2,75.5,1,,,
team_515,515,Veloxity,,logistics,5,5,5,4,19,4,4,4,4,16,35,True,False,,18.7,54.1,75.5,1,,,
team_638,638,TempTrack Developers,,logistics,5,5,5,5,20,5,2,3,5,15,35,True,False,,51.1,47.3,75.5,2,,,
team_083,83,Hack Nado,,logistics,5,5,5,5,20,4,3,3,4,14,34,True,False,23,51.1,44.6,73.4,,,,
team_310,310,HopeLess,,logistics,5,5,5,4,19,3,4,4,4,15,34,True,False,23,18.7,47.3,73.4,,,,
team_530,530,NEUROX,,logistics,5,5,5,4,19,4,3,4,4,15,34,True,False,,18.7,47.3,73.4,,,,
team_019,19,ETA Squad,,logistics,5,5,5,4,19,3,4,3,4,14,33,True,False,26,18.7,44.6,71.2,,,,
team_337,337,Origin,,logistics,5,5,5,5,20,3,5,2,3,13,33,True,False,26,51.1,40.5,71.2,,,,
team_090,90,Orivus,,logistics,5,5,5,5,20,3,3,3,4,13,33,True,False,,51.1,40.5,71.2,,,,
team_084,84,ByteBrain,,logistics,5,5,5,5,20,3,2,3,4,12,32,True,False,28,51.1,36.5,69.8,,,,
team_302,302,Phantom Vanguards,,logistics,5,5,5,4,19,5,2,2,4,13,32,True,False,28,18.7,40.5,69.8,,,,
team_607,607,Trojan Hex,,logistics,5,5,5,5,20,1,3,3,4,11,31,True,False,,51.1,35.1,69.1,,,,
team_057,57,DevOps,,logistics,5,5,1,4,15,4,2,4,5,15,30,True,False,30,1.4,47.3,68.3,,,,
team_145,145,ByteClub,,logistics,5,5,5,4,19,2,3,2,3,10,29,True,False,31,18.7,32.4,67.6,,,,
team_043,43,Syntax Saints,,logistics,5,5,1,5,16,3,1,4,4,12,28,True,False,32,4.3,36.5,66.2,,,,
team_612,612,Tech Squad,,logistics,4,5,5,4,18,3,2,2,3,10,28,True,False,,10.8,32.4,66.2,,,,
team_593,593,Vision X,,logistics,5,5,5,5,20,2,1,1,2,6,26,True,False,,51.1,29.7,64.7,,,,
team_606,606,AURASTICS,,logistics,5,5,5,4,19,1,3,2,1,7,26,True,False,,18.7,31.1,64.7,,,,
team_390,390,Code & Cargo,,logistics,5,5,5,5,20,1,2,1,1,5,25,True,False,,51.1,25.7,64,,,,
team_048,48,THD,,logistics,5,5,5,5,20,1,1,1,1,4,24,True,False,34,51.1,0,54,,,,
team_098,98,NeuroForge,,logistics,5,5,5,5,20,1,1,1,1,4,24,True,False,34,51.1,0,54,,,,
team_141,141,Silambu X,,logistics,5,5,5,5,20,1,1,1,1,4,24,True,False,34,51.1,0,54,,,,
team_234,234,Winterfell,,logistics,5,5,5,5,20,1,1,1,1,4,24,True,False,34,51.1,0,54,,,,
team_242,242,Pinout Pirates,,logistics,5,5,5,5,20,1,1,1,1,4,24,True,False,34,51.1,0,54,,,,
team_320,320,Vincimus Astra,,logistics,5,5,5,5,20,1,1,1,1,4,24,True,False,34,51.1,0,54,,,,
team_201,201,Chickocoders,,logistics,5,5,5,5,20,1,1,1,1,4,24,True,False,,51.1,0,54,,,,
team_394,394,Gravity Falls,,logistics,5,5,5,5,20,1,1,1,1,4,24,True,False,,51.1,0,54,,,,
team_460,460,Infinite Loopers,,logistics,5,5,5,5,20,1,1,1,1,4,24,True,False,,51.1,0,54,,,,
team_491,491,Magnum Opus,,logistics,5,5,5,5,20,1,1,1,1,4,24,True,False,,51.1,0,54,,,,
team_517,517,Tech Defenders,,logistics,5,5,5,4,19,1,2,1,1,5,24,True,False,,18.7,25.7,54,,,,
team_522,522,404 No Limits,,logistics,5,5,5,5,20,1,1,1,1,4,24,True,False,,51.1,0,54,,,,
team_591,591,OptiMind,,logistics,5,5,5,5,20,1,1,1,1,4,24,True,False,,51.1,0,54,,,,
team_604,604,BrainBits,,logistics,5,5,5,5,20,1,1,1,1,4,24,True,False,,51.1,0,54,,,,
team_014,14,GNOME,,logistics,5,5,4,5,19,1,1,1,1,4,23,True,False,41,18.7,0,51.1,,,,
team_109,109,Team Nova Core,,logistics,5,5,5,4,19,1,1,1,1,4,23,True,False,41,18.7,0,51.1,,,,
team_467,467,Glitch Matrix,,logistics,5,5,4,5,19,1,1,1,1,4,23,True,False,,18.7,0,51.1,,,,
team_575,575,Recursive Thinkers,,logistics,5,5,5,4,19,1,1,1,1,4,23,True,False,,18.7,0,51.1,,,,
team_077,77,Vazhi Makers,,logistics,5,5,4,4,18,1,1,1,1,4,22,True,False,,10.8,0,50.4,,,,
team_063,63,ORCAS,,logistics,5,5,2,5,17,1,1,1,1,4,21,True,False,44,7.9,0,49.6,,,,
team_031,31,ZYNXO,,logistics,5,5,5,5,20,,,,,,20,False,False,45,51.1,,29.5,,,,
team_039,39,Neural Nexus,,logistics,5,5,5,5,20,,,,,,20,False,False,45,51.1,,29.5,,,,
team_045,45,StrawHat Crew,,logistics,5,5,5,5,20,,,,,,20,False,False,45,51.1,,29.5,,,,
team_099,99,Nanoforce,,logistics,5,5,5,5,20,,,,,,20,False,False,45,51.1,,29.5,,,,
team_112,112,Team Nodium,,logistics,5,5,5,5,20,,,,,,20,False,False,45,51.1,,29.5,,,,
team_134,134,Tifosi,,logistics,5,5,5,5,20,,,,,,20,False,False,45,51.1,,29.5,,,,
team_156,156,CodeCatalysts,,logistics,5,5,5,5,20,,,,,,20,False,False,45,51.1,,29.5,,,,
team_166,166,LoadX Innovators,,logistics,5,5,5,5,20,,,,,,20,False,False,45,51.1,,29.5,,,,
team_187,187,ShadowStrikers,,logistics,5,5,5,5,20,,,,,,20,False,False,45,51.1,,29.5,,,,
team_196,196,NodeInfinite,,logistics,5,5,5,5,20,,,,,,20,False,False,45,51.1,,29.5,,,,
team_280,280,NAAGA 3 PEERU,,logistics,5,5,5,5,20,,,,,,20,False,False,45,51.1,,29.5,,,,
team_304,304,code’n_slavery,,logistics,5,5,5,5,20,,,,,,20,False,False,45,51.1,,29.5,,,,
team_317,317,Wayfarer,,logistics,5,5,1,4,15,2,1,1,1,5,20,True,False,45,1.4,25.7,29.5,,,,
team_325,325,ZEN,,logistics,5,5,5,5,20,,,,,,20,False,False,45,51.1,,29.5,,,,
team_360,360,Digi-dock,,logistics,5,5,5,5,20,,,,,,20,False,False,45,51.1,,29.5,,,,
team_203,203,Fantastic Four,,logistics,5,5,5,5,20,,,,,,20,False,False,45,51.1,,29.5,,,,
team_115,115,Code Titans,,logistics,5,5,5,5,20,,,,,,20,False,False,,51.1,,29.5,,,,
team_207,207,H I V E,,logistics,5,5,5,5,20,,,,,,20,False,False,,51.1,,29.5,,,,
team_240,240,code warriors,,logistics,5,5,5,5,20,,,,,,20,False,False,,51.1,,29.5,,,,
team_290,290,COGNITIVE CREW,,logistics,5,5,5,5,20,,,,,,20,False,False,,51.1,,29.5,,,,
team_399,399,EchoMinds,,logistics,5,5,5,5,20,,,,,,20,False,False,,51.1,,29.5,,,,
team_429,429,Incertainty,,logistics,5,5,5,5,20,,,,,,20,False,False,,51.1,,29.5,,,,
team_482,482,Winnovators,,logistics,5,5,5,5,20,,,,,,20,False,False,,51.1,,29.5,,,,
team_485,485,SmartLogix,,logistics,5,5,5,5,20,,,,,,20,False,False,,51.1,,29.5,,,,
team_519,519,Tech Stack,,logistics,5,5,5,5,20,,,,,,20,False,False,,51.1,,29.5,,,,
team_537,537,Innovate X,,logistics,5,5,5,5,20,,,,,,20,False,False,,51.1,,29.5,,,,
team_554,554,NullPointers,,logistics,5,5,5,5,20,,,,,,20,False,False,,51.1,,29.5,,,,
team_597,597,Pixel Pirates,,logistics,5,5,5,5,20,,,,,,20,False,False,,51.1,,29.5,,,,
team_011,11,PredictX,,logistics,5,5,5,4,19,,,,,,19,False,False,63,18.7,,11.5,,,,
team_036,36,Signal Zero,,logistics,5,5,5,4,19,,,,,,19,False,False,63,18.7,,11.5,,,,
team_058,58,InTech,,logistics,5,5,5,4,19,,,,,,19,False,False,63,18.7,,11.5,,,,
team_070,70,Zentrix,,logistics,5,5,5,4,19,,,,,,19,False,False,63,18.7,,11.5,,,,
team_076,76,CONEXUS,,logistics,5,5,4,5,19,,,,,,19,False,False,63,18.7,,11.5,,,,
team_091,91,THE DEBUGGERS,,logistics,5,5,5,4,19,,,,,,19,False,False,63,18.7,,11.5,,,,
team_092,92,Autobots,,logistics,5,5,4,5,19,,,,,,19,False,False,63,18.7,,11.5,,,,
team_131,131,Pookie Bear,,logistics,5,5,5,4,19,,,,,,19,False,False,63,18.7,,11.5,,,,
team_188,188,Naz Cuties,,logistics,5,5,5,4,19,,,,,,19,False,False,63,18.7,,11.5,,,,
team_214,214,Noca,,logistics,5,5,5,4,19,,,,,,19,False,False,63,18.7,,11.5,,,,
team_236,236,Developers Den,,logistics,5,5,5,4,19,,,,,,19,False,False,63,18.7,,11.5,,,,
team_305,305,Innovetrix,,logistics,5,5,5,4,19,,,,,,19,False,False,63,18.7,,11.5,,,,
team_321,321,ZENTRAIL,,logistics,5,5,5,4,19,,,,,,19,False,False,63,18.7,,11.5,,,,
team_151,151,Neural Ninjas,,logistics,5,5,5,4,19,,,,,,19,False,False,63,18.7,,11.5,,,,
team_027,27,Eco RouterX,,logistics,5,5,5,4,19,,,,,,19,False,False,,18.7,,11.5,,,,
team_389,389,3MK,,logistics,5,5,5,4,19,,,,,,19,False,False,,18.7,,11.5,,,,
team_411,411,Vortex Minds,,logistics,5,5,5,4,19,,,,,,19,False,False,,18.7,,11.5,,,,
team_439,439,AlertX,,logistics,5,5,5,4,19,,,,,,19,False,False,,18.7,,11.5,,,,
team_487,487,Inexorables,,logistics,5,5,5,4,19,,,,,,19,False,False,,18.7,,11.5,,,,
team_490,490,Team Players,,logistics,5,5,5,4,19,,,,,,19,False,False,,18.7,,11.5,,,,
team_524,524,SIGNAL SMITHS,,logistics,5,5,5,4,19,,,,,,19,False,False,,18.7,,11.5,,,,
team_531,531,Techfreaks,,logistics,5,5,5,4,19,,,,,,19,False,False,,18.7,,11.5,,,,
team_553,553,Totem,,logistics,5,5,5,4,19,,,,,,19,False,False,,18.7,,11.5,,,,
team_599,599,Ctrl+V,,logistics,5,5,5,4,19,,,,,,19,False,False,,18.7,,11.5,,,,
team_635,635,Route Masters,,logistics,5,5,5,4,19,,,,,,19,False,False,,18.7,,11.5,,,,
team_075,75,The_Matrix,,logistics,5,5,4,4,18,,,,,,18,False,False,80,10.8,,7.2,,,,
team_127,127,CREOVISION,,logistics,5,5,4,4,18,,,,,,18,False,False,80,10.8,,7.2,,,,
team_241,241,Spark Squad,,logistics,5,5,4,4,18,,,,,,18,False,False,80,10.8,,7.2,,,,
