metric,value
Domain,logistics
Total Teams,144
Successfully Evaluated,143
Failed Evaluations,1
GitHub Submissions,75
,
PPT Total — Mean,19.1
PPT Total — Min,12
PPT Total — Max,20
,
GitHub Total — Mean,12.8
GitHub Total — Min,4
GitHub Total — Max,20
,
Overall Total — Mean,25.3
Overall Total — Min,12
Overall Total — Max,40
,
Battle Rows Stored,0
Unique Matchups,0
Relative Scores Computed,0
Relative Score — Mean,N/A
,
Total Reconciliation Flags,0
Unresolved Flags,0
,
Report Generated,2026-04-19 13:30:40
